                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.3783,2.7297,1.202,0.42038,0.61622,0.42896,0.31763,1.0804,3.655,1.0701,0.067508,0.00032821,0.00032821
2,1.2054,1.5718,1.1385,0.48938,0.64936,0.48737,0.3541,1.0852,1.5532,1.1669,0.034505,0.0006584,0.0006584
3,1.115,1.416,1.0955,0.44664,0.80902,0.47477,0.32944,1.0689,1.6108,1.0603,0.0014982,0.00098542,0.00098542
4,1.1334,1.403,1.1257,0.43009,0.7273,0.49534,0.34429,1.1368,1.2796,1.1153,0.00098575,0.00098575,0.00098575
5,1.1223,1.3399,1.1092,0.46881,0.91348,0.55888,0.39649,1.106,1.1841,1.0818,0.00098575,0.00098575,0.00098575
6,1.1095,1.3139,1.0919,0.44259,0.82597,0.53758,0.39071,1.0544,1.2217,1.0627,0.000981,0.000981,0.000981
7,1.1097,1.2813,1.0838,0.48019,0.83582,0.54351,0.40203,1.032,1.1801,1.03,0.00097625,0.00097625,0.00097625
8,1.0958,1.2718,1.087,0.43354,0.7385,0.47926,0.34264,1.0843,1.3535,1.0607,0.0009715,0.0009715,0.0009715
9,1.0674,1.268,1.0746,0.46742,0.82688,0.54295,0.39891,0.98606,1.2234,1.0235,0.00096675,0.00096675,0.00096675
10,1.0466,1.2526,1.0684,0.46959,0.80392,0.55438,0.38351,1.0908,1.1864,1.0726,0.000962,0.000962,0.000962
11,1.0617,1.243,1.0704,0.47106,0.87954,0.53573,0.3896,1.0589,1.3196,1.0775,0.00095725,0.00095725,0.00095725
12,1.0608,1.2056,1.061,0.4696,0.80437,0.49823,0.35446,1.0377,1.156,1.0579,0.0009525,0.0009525,0.0009525
13,1.0405,1.1767,1.0564,0.47051,0.91162,0.50142,0.37646,0.91814,1.1086,0.98966,0.00094775,0.00094775,0.00094775
